"Bout","Date","Site","Precip10","Precip30","Precip60","VWC5.10","VWC3.10","VWC1.10","VWC5.1","VWC3.1","VWC1.1","lhVar","lh10"
"CPER3","2020-09-24","CPER",-0.914505219206681,-0.26615149409312,-0.205069124423963,NA,NA,NA,NA,NA,NA,762.468122871355,37.6331778190587
"NIWO3","2020-08-05","NIWO",-0.784757396449704,0.642919397697077,0.445285714285714,0.0816523595505618,0.0816523595505618,0.137908595041322,0.0780302083333333,0.0780302083333333,0.123891156462585,NA,NA
"HARV2","2020-09-23","HARV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.886690073998
"WREF1","2020-10-01","WREF",7.60454279749478,2.63986431095406,2.57845378151261,0.105373333333333,0.105373333333333,0.144533333333333,0.105373333333333,0.105373333333333,0.144533333333333,NA,NA
"YELL2","2020-09-28","YELL",0.306137787056367,0.116107193229901,0.0184908108108108,0.00913164005805515,0.00913164005805515,0.00661484375,0.00871139240506329,0.00871139240506329,0.0089344537815126,NA,NA
"SCBI3","2020-10-12","SCBI",NA,-0.966184049079755,2.26472727272727,0.172148031496063,0.172148031496063,0.391232,NA,NA,NA,7702.2175413,219.153055677793
"UNDE3","2020-10-15","UNDE",3.43575782881002,3.13601111883252,2.67300989166274,0.161209586631486,0.161209586631486,0.249549619771863,0.1645944,0.1645944,0.176155263157895,3906.85025633913,59.9519345477852
"OSBS2","2020-10-14","OSBS",3.04774947807933,2.48786101459347,2.51912832929782,0.203809366925065,0.203809366925065,0.243826621338912,0.187722627737226,0.187722627737226,0.208223391812866,821.80617146244,216.087036967675
"WREF2","2020-10-20","WREF",9.75983298538622,5.74915481171548,3.54980512820513,0.181226490713587,0.181226490713587,0.32435504587156,0.206069934640523,0.206069934640523,0.311466666666667,NA,NA
"HARV3","2020-10-20","HARV",5.05463048016701,3.28707296137339,3.28707296137339,NA,NA,NA,NA,NA,NA,10729.9003714042,153.784102083168
"OSBS3","2020-11-19","OSBS",3.8824885177453,2.48262404447533,2.18799661876585,0.209032844932845,0.209032844932845,0.239559926082365,0.16490737704918,0.16490737704918,0.177307344632768,2687.70110342099,108.708922739956
