"Bout","Species","E.med","E.IQR","X0.10cm.med","X0.10cm.IQR","X10.20cm.med","X10.20cm.IQR","X20.40cm.med","X20.40cm.IQR","X40.cm.med","X40.cm.IQR","GW.med","GW.IQR"
"CPER1","Bouteloua gracilis",0.649930209691942,1.40703986366176,0.328321006596456,0.366972496301876,0.127146118357874,0.187330068325057,0.0585953773759382,0.0922446494480532,0.323133437729223,0.36911959272264,0.0268865183319963,0.0438689618967767
"CPER1","Bouteloua gracilis",7.08379095148845,1.36527346996721,0.284505349408291,0.322257874186292,0.156245134547446,0.226378986998451,0.0966122654385939,0.149811699387704,0.24691067223213,0.306812056548887,0.0490020843779237,0.0803970865158625
"CPER1","Bouteloua gracilis",4.32695889241781,1.306020608594,0.312312245663125,0.337947727316179,0.137396826841018,0.212856967196992,0.0872151068251717,0.141047705401933,0.259110170070912,0.317045386405521,0.0451860175002319,0.0705918799748997
"CPER1","Hesperostipa comata",3.77207552675481,1.36838903195014,0.257341351905611,0.31843781183099,0.16307307151987,0.242554667270793,0.0858987780223022,0.134051541975578,0.289271659933878,0.337749254717409,0.0389639433657386,0.0640453193405413
"CPER1","Hesperostipa comata",7.09877870306338,1.33203188238049,0.277220334146252,0.324632002069931,0.162787948926145,0.228543340205937,0.0906493393697296,0.144025365162609,0.258669853456464,0.322780546838665,0.0469224405251434,0.0719277747208548
"CPER1","Hesperostipa comata",4.59273504758544,1.369057976519,0.266998333197788,0.324847470737826,0.168489934216816,0.234112487743948,0.0848483675224088,0.135927050115482,0.278354900946414,0.322314749623516,0.0406142242018588,0.065901459639532
"CPER1","Hesperostipa comata",4.83656946047727,1.35146975898091,0.288717599438412,0.33082893778629,0.152527781247042,0.227707782152756,0.085051042444958,0.135831672511714,0.263910856633593,0.324288457923178,0.0419938157814309,0.0683012410785198
"CPER1","Eriogonum effusum",9.78818512363783,1.51695934170307,0.215078282955825,0.280052720054642,0.182938628023559,0.259046544341987,0.111646811713595,0.172114461488583,0.258372554534167,0.31361945433635,0.0467920452171861,0.0738536749860938
"CPER1","Eriogonum effusum",0.0112485782755494,0.096208171989635,0.189084631047823,0.238190508065634,0.119620375339338,0.180406890975843,0.174501684846725,0.270288428801427,0.141657363525926,0.194513404384895,0.229241292277344,0.118157630019257
"CPER1","Eriogonum effusum",0.015331483510423,0.12609143702722,0.224237224926247,0.259700117700861,0.171123773281445,0.234461166806437,0.166235207211015,0.21800209796513,0.190216077709676,0.241501535365278,0.117231105405371,0.101277226061525
"CPER1","Eriogonum effusum",0.479580570493568,1.25554391769248,0.311902513358605,0.359557666308986,0.140380601538296,0.207758383760858,0.0631422966933917,0.0981045630743063,0.320582647484974,0.37033346186344,0.0260886521881361,0.0424216265194047
"CPER1","Eriogonum effusum",0.0109175103241121,0.101293022199557,0.143303378257055,0.182673684697299,0.136280591969583,0.188598435111461,0.172248545955333,0.245107921591845,0.121547128293436,0.165906973313259,0.304812848316675,0.114272709772743
"CPER1","Artemisia frigida",9.48254330956178,1.61535242164458,0.157409678816117,0.223656007261943,0.210781068749489,0.284910835654276,0.167062862276479,0.236880598178164,0.208909069243703,0.281446829499037,0.0654945431117396,0.096382711292053
"CPER1","Artemisia frigida",2.33495578351301,1.4648822066462,0.375711126028722,0.388699891962855,0.10321526268353,0.164547265114046,0.0700040383483298,0.120611651929794,0.244673892873197,0.346849767648903,0.038950041961542,0.0725241103346615
"CPER1","Artemisia frigida",6.27787432365261,1.32532639759047,0.298281543890327,0.336994707411598,0.138315123034977,0.200326845843104,0.0983482903021771,0.157379025443381,0.230057465879775,0.293981038194687,0.0633965987569021,0.0962846290678023
"CPER1","Elymus elymoides",3.51541067091386,1.34389880042786,0.29057346321905,0.333641566852197,0.154167074122186,0.218168376201203,0.0792716885716656,0.128065914104115,0.281853552921469,0.330699257542983,0.0400682509496221,0.0642067863021473
"CPER1","Elymus elymoides",2.82938087726143,1.34002421666837,0.301493307423632,0.345252120125752,0.136443317110649,0.206151899601832,0.0758250631001197,0.123603171894605,0.283712239606099,0.351925971430115,0.0376151840535431,0.0614711796368045
"CPER1","Bouteloua gracilis",0.562162323606226,1.36676250606761,0.331134411436414,0.367340794858926,0.125222836084008,0.191166751364418,0.0607004125282012,0.0950929174463836,0.33115860475792,0.374961419542657,0.0254409863407757,0.0419057093663739
"CPER1","Bouteloua gracilis",7.02773658680467,1.34564044601187,0.284686539481507,0.335335417372458,0.14804395910686,0.224284140090474,0.0928320247513411,0.145661025538467,0.251198179069536,0.316435438275491,0.0491468665249794,0.0814090901955324
"CPER1","Bouteloua gracilis",4.3209503363185,1.27859537749099,0.309973501706089,0.348556568829294,0.145353872114373,0.214029177467869,0.0847325142353349,0.135939985234277,0.254016156687931,0.316265110737544,0.0444757247719483,0.0719946998663072
"CPER1","Hesperostipa comata",3.76173780437707,1.36734056138195,0.267163062232847,0.32574506063869,0.162400138752713,0.232405664234094,0.0836014344881754,0.132746835830107,0.282448404012574,0.339577640235703,0.040049022372609,0.0632648752289163
"CPER1","Hesperostipa comata",7.11513019051001,1.35203863823869,0.279719939443649,0.325357276835696,0.157434842933847,0.221984393817195,0.0959019016971182,0.1419974922448,0.260952058181608,0.317014490156552,0.0482478450547153,0.0769883668479904
"CPER1","Hesperostipa comata",4.57725969362038,1.32313645229244,0.273968886724403,0.332276565561388,0.154271901181249,0.227496119642582,0.087031880235013,0.137638811222575,0.27774299706525,0.338116990835742,0.0405145701493468,0.0666986920011139
